시도,시군구코드,시군구명,위도,경도,축척,행정구역최소X좌표,행정구역최소Y좌표,행정구역최대X좌표,행정구역최대Y좌표,매핑코드,상태,자치구구분,지진해일발생분류,지진구역
43,800,단양군,36.99438193,128.38789702,100000,128.2172552,36.80046107,128.65221009,37.16070055,43800,Y,Y,,1
44,130,천안시,36.8012,127.2047,100000,127.00935,36.620421,127.420781,36.972811,44130,N,Y,,1
44,131,천안시동남구,36.76412728,127.22087714,25000,127.00936835,36.62041955,127.42079974,36.89226028,44131,Y,N,,1
44,133,천안시서북구,36.89257889,127.16214855,25000,127.07392992,36.78468958,127.29060683,36.97281431,44133,Y,N,,1
44,150,공주시,36.47979231,127.07533779,100000,126.88391862,36.2770019,127.28229419,36.67941745,44150,Y,Y,,1
44,180,보령시,36.34211209,126.59008823,100000,125.95533762,36.1717652,126.73799676,36.52981461,44180,Y,Y,,1
44,200,아산시,36.8069541,126.98061941,100000,126.83017268,36.64863662,127.11940941,36.94002744,44200,Y,Y,,1
44,210,서산시,36.7860277,126.46301736,100000,126.3142713,36.599974,126.65363977,37.02684752,44210,Y,Y,,1
44,230,논산시,36.19089202,127.15796494,100000,126.98358103,36.06318624,127.33356206,36.34003006,44230,Y,Y,,1
44,250,계룡시,36.29132759,127.23428808,25000,127.19575175,36.23185401,127.29177963,36.34916547,44250,Y,Y,,1
44,270,당진시,36.90396063,126.65343443,25000,126.41016812,36.74812622,126.85916779,37.08002042,44270,Y,Y,,1
44,710,금산군,36.11926832,127.47830443,100000,127.31796839,35.97801432,127.63806581,36.27227593,44710,Y,Y,,1
44,730,연기군,36.5766,127.26,100000,127.127639,36.418588,127.367941,36.733755,44730,N,N,,1
44,760,부여군,36.24638563,126.8570141,100000,126.68035872,36.06924529,127.06976551,36.38675194,44760,Y,Y,,2
44,770,서천군,36.10745008,126.70225023,100000,126.48368541,35.99972737,126.87013171,36.19468931,44770,Y,Y,,2
44,790,청양군,36.43061568,126.8532163,100000,126.6731241,36.31511807,127.02805865,36.57215438,44790,Y,Y,,1
44,800,홍성군,36.57037713,126.62406419,100000,126.44178623,36.46027104,126.77313845,36.67283784,44800,Y,Y,,1
44,810,예산군,36.67046159,126.7841895,100000,126.58541169,36.52664528,126.96960849,36.80391511,44810,Y,Y,,1
44,825,태안군,36.70746402,126.27933469,200000,125.54091412,36.39478967,126.4491414,36.97934456,44825,Y,Y,,1
44,830,당진시,36.9014,126.6532,100000,126.41444,36.748128,126.859148,37.065256,44830,N,N,,1
45,110,전주시,35.8241,127.148,50000,126.997492,35.728428,127.2357,35.901494,45110,N,Y,,1
45,111,전주시완산구,35.79257655,127.11966154,50000,127.05093624,35.72842862,127.21742666,35.84614201,45111,Y,N,,1
45,113,전주시덕진구,35.85848759,127.11284048,50000,126.99751027,35.80163416,127.23571739,35.90149673,45113,Y,N,,1
45,130,군산시,35.95324426,126.71985082,200000,125.96659987,35.726062,126.91551851,36.12739718,45130,Y,Y,,1
45,140,익산시,36.02324304,126.98938823,100000,126.85361987,35.88313924,127.1401114,36.15641112,45140,Y,Y,,1
45,180,정읍시,35.60298294,126.90500797,100000,126.71848892,35.46137773,127.11728548,35.75830089,45180,Y,Y,,1
45,190,남원시,35.42240204,127.44143537,100000,127.18315727,35.3030569,127.67287426,35.56070963,45190,Y,Y,,1
45,210,김제시,35.80370367,126.90720381,100000,126.68550254,35.66597787,127.08663289,35.9203139,45210,Y,Y,,1
45,710,완주군,35.9188166,127.21525334,100000,126.99466574,35.61873698,127.37935662,36.13073493,45710,Y,Y,,1
45,720,진안군,35.82880248,127.43013494,100000,127.26514751,35.61882256,127.62842673,36.02961548,45720,Y,Y,,1
45,730,무주군,35.93928769,127.7129812,100000,127.52474108,35.78822104,127.91147399,36.06835958,45730,Y,Y,,1
45,740,장수군,35.65713432,127.5441512,100000,127.36147498,35.46790728,127.69966603,35.83969805,45740,Y,Y,,1
45,750,임실군,35.59774687,127.23613116,100000,127.08273023,35.45888308,127.43600728,35.77803607,45750,Y,Y,,1
45,770,순창군,35.43362591,127.089836,100000,126.86008367,35.29919615,127.31449221,35.55592793,45770,Y,Y,,1
45,790,고창군,35.44885989,126.61577504,100000,126.42499998,35.29962118,126.77425196,35.57915017,45790,Y,Y,,1
45,800,부안군,35.67619319,126.63907479,100000,126.10022388,35.55838715,126.83953623,35.81604031,45800,Y,Y,,1
46,110,목포시,34.80313357,126.39069722,50000,126.2883488,34.74473905,126.46203851,34.84440273,46110,Y,Y,,1
46,130,여수시,34.69642897,127.65130591,100000,127.19299132,34.00494664,127.90586942,34.90272045,46130,Y,Y,,1
46,150,순천시,34.99455511,127.3898354,100000,127.17496248,34.82511996,127.60533525,35.18909047,46150,Y,Y,,1
46,170,나주시,34.98821221,126.71971813,100000,126.51350131,34.86323728,126.8998116,35.11502656,46170,Y,Y,,1
46,230,광양시,35.0201959,127.65627711,100000,127.52555467,34.88378493,127.78731117,35.18449584,46230,Y,Y,,1
46,710,담양군,35.29152717,126.99538679,100000,126.85469696,35.11582165,127.11745698,35.46579885,46710,Y,Y,,1
46,720,곡성군,35.21667727,127.26369152,100000,127.08095082,35.06939247,127.41273559,35.33801756,46720,Y,Y,,1
46,730,구례군,35.23696577,127.50323105,100000,127.36680938,35.0946228,127.624764,35.36665987,46730,Y,Y,,1
46,770,고흥군,34.59828504,127.31590559,100000,127.08068254,34.36458758,127.58324309,34.82788467,46770,Y,Y,,1
46,780,보성군,34.81460965,127.16249931,100000,126.97210302,34.63496137,127.4800443,34.98900479,46780,Y,Y,,1
46,790,화순군,35.00831148,127.03348473,100000,126.82392537,34.82430123,127.20170475,35.21421266,46790,Y,Y,,1
46,800,장흥군,34.67542537,126.92221135,100000,126.79325839,34.42201953,127.04643777,34.87721522,46800,Y,Y,,1
46,810,강진군,34.62019127,126.77223011,100000,126.65601013,34.44653472,126.88585053,34.78770758,46810,Y,Y,,1
46,820,해남군,34.55357765,126.51493637,100000,126.23907225,34.29226918,126.73468225,34.76242272,46820,Y,Y,,1
46,830,영암군,34.80222405,126.63245336,100000,126.36169795,34.6649547,126.85918819,34.94630616,46830,Y,Y,,1
46,840,무안군,34.95450361,126.42443021,100000,126.24111919,34.76935842,126.55330572,35.16731286,46840,Y,Y,,1
46,860,함평군,35.11263143,126.53551757,100000,126.36893811,34.97283685,126.67210167,35.23565636,46860,Y,Y,,1
46,870,영광군,35.2788075,126.45089403,200000,125.98500403,35.1652043,126.644767,35.43269765,46870,Y,Y,,1
46,880,장성군,35.32946307,126.76875661,100000,126.58333704,35.19077657,126.92640682,35.48629592,46880,Y,Y,,1
46,890,완도군,34.2981488,126.77637691,200000,126.32756564,34.09679752,127.17841256,34.46003698,46890,Y,Y,,1
46,900,진도군,34.43749837,126.21135502,100000,125.461483,34.14072486,126.38531764,34.59309708,46900,Y,Y,,1
46,910,신안군,34.81036109,126.04280178,200000,125.07652628,34.04697714,126.37891303,35.21318205,46910,Y,Y,,1
47,110,포항시,36.6498,127.5077,50000,127.446,36.585,127.558,36.72,47110,N,Y,Y,1
47,111,포항시남구,35.95854072,129.4379265,100000,129.27666881,35.83987792,129.58471354,36.08611219,47111,Y,N,,1
47,113,포항시북구,36.16534821,129.23434798,100000,128.98748825,36.01419243,129.43990118,36.33332781,47113,Y,N,,1
47,130,경주시,35.82666837,129.23571562,100000,128.96988214,35.64010515,129.5220534,36.07978434,47130,Y,Y,Y,1
47,150,김천시,36.06050061,128.07808306,100000,127.87538176,35.82886965,128.30084149,36.25856046,47150,Y,Y,,1
47,170,안동시,36.58028445,128.77998863,200000,128.42921304,36.29590545,129.00136586,36.82316546,47170,Y,Y,,1
47,190,구미시,36.2077183,128.3554885,100000,128.13276166,36.06070202,128.56431457,36.36243176,47190,Y,Y,,1
47,210,영주시,36.87047623,128.59780181,100000,128.42379186,36.69551892,128.74536372,37.06546239,47210,Y,Y,,1
